appear_time_time,condition,corr_resp,correct,datetime,loc_x,loc_y,log_time,press_time_error,press_time_time,pressed,rt,run_num,stim,subj
1787.89709644619,~,F,True,20180917_131349,6.12323399573677E-17,1,1788.66354765513,0.000486788553189,1788.66354765513,F,0.766451208936815,0,"__<__
_<><_
<><><
_<><_
__<__
",101
1789.52251584071,~,J,True,20180917_131349,0.707106781186547,-0.707106781186548,1790.98342993376,0.000478615381667,1790.98342993376,J,1.46091409304131,0,"__>__
_><>_
><><>
_><>_
__>__
",101
1791.93948251357,~,F,True,20180917_131349,-1.83697019872103E-16,-1,1792.92829413443,0.00098022646614,1792.92829413443,F,0.988811620864681,0,"__<__
_<><_
<><><
_<><_
__<__
",101
1793.73996265276,=,J,True,20180917_131349,1,0,1794.55225912001,0.000489143534651,1794.55225912001,J,0.812296467250462,0,"__<__
_<><_
<>>><
_<><_
__<__
",101
1795.3403677096,~,F,True,20180917_131349,-0.707106781186548,-0.707106781186547,1796.05546618939,0.000478476853345,1796.05546618939,F,0.715098479789958,0,"__<__
_<><_
<><><
_<><_
__<__
",101
1796.87391345304,+,F,True,20180917_131349,0.707106781186547,-0.707106781186548,1797.72772602975,0.000477507154983,1797.72772602975,F,0.85381257670997,0,"__<__
_<<<_
<<<<<
_<<<_
__<__
",101
1798.6241582326,+,F,True,20180917_131349,-0.707106781186548,-0.707106781186547,1799.31978101442,0.000485957383148,1799.31978101442,F,0.695622781815018,0,"__<__
_<<<_
<<<<<
_<<<_
__<__
",101
1800.32449180882,+,J,True,20180917_131349,-1,1.22464679914735E-16,1801.07196893087,0.000500779914432,1801.07196893087,J,0.747477122046348,0,"__>__
_>>>_
>>>>>
_>>>_
__>__
",101
1801.91649041245,=,F,True,20180917_131349,-1,1.22464679914735E-16,1802.55986654181,0.000485818854827,1802.55986654181,F,0.643376129352191,0,"__>__
_><>_
><<<>
_><>_
__>__
",101
1803.3917788977,+,J,True,20180917_131349,0.707106781186547,-0.707106781186548,1804.08866159468,0.000980642051104,1804.08866159468,J,0.696882696980538,0,"__>__
_>>>_
>>>>>
_>>>_
__>__
",101
1804.95042071054,=,F,True,20180917_131349,-0.707106781186547,0.707106781186548,1805.58400898218,0.000496069951282,1805.58400898218,F,0.633588271637336,0,"__>__
_><>_
><<<>
_><>_
__>__
",101
1806.43423118162,+,F,True,20180917_131349,1,0,1807.05609746299,0.000982304391073,1807.05609746299,F,0.621866281373059,0,"__<__
_<<<_
<<<<<
_<<<_
__<__
",101
1807.90100737802,=,F,True,20180917_131349,1,0,1808.61526928522,0.000985906127653,1808.61526928522,F,0.714261907202626,0,"__>__
_><>_
><<<>
_><>_
__>__
",101
1809.54300778252,=,J,True,20180917_131349,0.707106781186547,-0.707106781186548,1810.22409506368,0.00049759376293,1810.22409506368,J,0.681087281159989,0,"__<__
_<><_
<>>><
_<><_
__<__
",101
1811.11015163311,~,F,True,20180917_131349,0.707106781186548,0.707106781186547,1811.84063243724,0.001256313428712,1811.84063243724,F,0.730480804129229,0,"__<__
_<><_
<><><
_<><_
__<__
",101
1812.73532056841,=,J,True,20180917_131349,-0.707106781186548,-0.707106781186547,1813.52785832431,0.000505351349375,1813.52785832431,J,0.792537755896547,0,"__<__
_<><_
<>>><
_<><_
__<__
",101
1814.41064756453,~,J,True,20180917_131349,-0.707106781186547,0.707106781186548,1815.2075111446,0.000471688965149,1815.2075111446,J,0.796863580070749,0,"__>__
_><>_
><><>
_><>_
__>__
",101
1816.06932871942,=,J,True,20180917_131349,-1.83697019872103E-16,-1,1816.72824315601,0.000487896779759,1816.72824315601,J,0.658914436591431,0,"__<__
_<><_
<>>><
_<><_
__<__
",101
1817.51127121908,+,F,True,20180917_131349,6.12323399573677E-17,1,1818.16026633457,0.000477507154983,1818.16026633457,F,0.648995115491061,0,"__<__
_<<<_
<<<<<
_<<<_
__<__
",101
1819.1201129283,+,F,True,20180917_131349,0.707106781186548,0.707106781186547,1819.74411406977,0.000500364329469,1819.74411406977,F,0.6240011414734,0,"__<__
_<<<_
<<<<<
_<<<_
__<__
",101
1820.69524099774,=,F,True,20180917_131349,6.12323399573677E-17,1,1821.31949592311,0.000500364329469,1821.31949592311,F,0.624254925374999,0,"__>__
_><>_
><<<>
_><>_
__>__
",101
1822.2038829491,=,F,True,20180917_131349,-0.707106781186548,-0.707106781186547,1822.84039569232,0.000494823196277,1822.84039569232,F,0.636512743221147,0,"__>__
_><>_
><<<>
_><>_
__>__
",101
1823.79596273034,=,J,True,20180917_131349,0.707106781186548,0.707106781186547,1824.63205462449,0.000480970363242,1824.63205462449,J,0.836091894153242,0,"__<__
_<><_
<>>><
_<><_
__<__
",101
1825.46304673669,~,J,True,20180917_131349,-1,1.22464679914735E-16,1826.29583126695,0.000490251761335,1826.29583126695,J,0.832784530264462,0,"__>__
_><>_
><><>
_><>_
__>__
",101
1827.24655022899,~,F,True,20180917_131349,-1,1.22464679914735E-16,1828.03203342966,0.000491637044661,1828.03203342966,F,0.785483200669205,0,"__<__
_<><_
<><><
_<><_
__<__
",101
1828.92188830738,=,J,True,20180917_131349,6.12323399573677E-17,1,1829.61543870537,0.000477922739947,1829.61543870537,J,0.693550397991885,0,"__<__
_<><_
<>>><
_<><_
__<__
",101
1830.43886661661,+,J,True,20180917_131349,0.707106781186548,0.707106781186547,1831.26437453074,0.000475290701615,1831.26437453074,J,0.825507914123591,0,"__>__
_>>>_
>>>>>
_>>>_
__>__
",101
