,correct,rt
0,1,0.377
1,1,0.393
2,0,0.3
3,1,0.46900000000000003
4,1,0.256
5,0,0.232
6,1,0.428
7,1,0.468
8,1,0.457
9,1,0.34700000000000003
10,1,0.557
11,0,0.462
12,1,0.333
13,1,0.47500000000000003
14,1,0.309
15,1,0.435
16,1,0.28400000000000003
17,1,0.494
18,1,0.276
19,1,0.461
20,1,0.263
21,1,0.441
22,1,0.381
23,0,0.29
24,1,0.3
25,0,0.854
26,1,0.495
27,1,0.387
28,1,0.516
29,1,0.546
30,1,0.485
31,1,0.233
32,0,0.38
33,0,0.338
34,0,0.293
35,0,0.301
36,1,0.514
37,0,0.34500000000000003
38,1,0.532
39,1,0.323
40,1,0.5640000000000001
41,1,0.327
42,1,0.717
43,0,0.375
44,0,0.584
45,0,0.549
46,1,0.386
47,1,0.449
48,1,0.47200000000000003
49,1,0.911
50,1,0.498
51,0,0.454
52,1,0.342
53,0,0.84
54,0,0.333
55,1,0.558
56,0,0.339
57,1,0.481
58,1,0.398
59,1,0.5760000000000001
60,0,0.422
61,0,0.42
62,0,0.41300000000000003
63,1,0.47000000000000003
64,0,0.46
65,0,0.518
66,1,0.468
67,1,0.28700000000000003
68,1,0.292
69,1,0.325
70,0,0.769
71,1,0.28700000000000003
72,1,0.432
73,1,0.389
74,1,0.35200000000000004
75,1,0.53
76,0,0.309
77,0,0.33
78,1,0.501
79,0,0.5720000000000001
80,0,0.5700000000000001
81,1,0.243
82,1,0.332
83,0,0.668
84,1,0.634
85,0,0.461
86,0,0.339
87,1,0.41000000000000003
88,0,0.371
89,1,0.34500000000000003
90,0,0.387
91,1,0.448
92,1,0.546
93,1,0.455
94,1,0.28700000000000003
95,1,0.396
96,1,0.296
97,1,0.504
98,1,0.604
99,0,0.51
100,0,0.355
101,1,0.587
102,0,0.444
103,1,0.6920000000000001
104,1,0.41600000000000004
105,0,0.647
106,0,0.388
107,0,0.746
108,1,0.33
109,0,0.464
110,1,0.421
111,1,0.976
112,0,0.47000000000000003
113,0,0.47600000000000003
114,0,0.31
115,1,0.302
116,1,0.652
117,1,0.362
118,1,0.291
119,0,0.309
120,1,0.318
121,0,0.278
122,1,0.334
123,1,0.645
124,0,0.294
125,1,0.313
126,1,0.544
127,0,0.867
128,1,0.332
129,1,0.364
130,1,0.299
131,0,0.263
132,0,0.47200000000000003
133,1,0.47000000000000003
134,1,0.541
135,1,0.364
136,1,0.216
137,1,0.468
138,0,0.679
139,1,0.316
140,1,0.32
141,1,0.49
142,1,0.391
143,1,0.302
144,1,0.23800000000000002
145,1,0.609
146,1,0.397
147,1,0.34900000000000003
148,0,0.58
149,1,0.293
