,correct,rt
0,1.0,2.026
1,0.0,1.112
2,0.0,0.55
3,1.0,0.512
4,1.0,0.569
5,1.0,0.47
6,1.0,0.5589999999999999
7,1.0,0.45899999999999996
8,1.0,0.454
9,1.0,0.34299999999999997
10,1.0,0.644
11,1.0,0.431
12,0.0,1.065
13,1.0,0.46599999999999997
14,1.0,1.2389999999999999
15,1.0,0.89
16,1.0,0.496
17,0.0,1.03
18,1.0,0.73
19,1.0,0.787
20,1.0,1.618
21,1.0,0.751
22,1.0,0.618
23,1.0,2.529
24,1.0,1.738
25,1.0,0.595
26,1.0,0.533
27,0.0,0.8210000000000001
28,0.0,1.577
29,1.0,0.396
30,1.0,0.404
31,1.0,0.7290000000000001
32,1.0,0.46199999999999997
33,1.0,0.751
34,1.0,0.716
35,1.0,0.706
36,0.0,0.66
37,1.0,0.495
38,1.0,0.527
39,1.0,1.301
40,1.0,1.568
41,1.0,1.989
42,1.0,1.189
43,1.0,0.395
44,1.0,0.441
45,1.0,0.673
46,1.0,0.528
47,1.0,0.354
48,1.0,0.434
49,1.0,0.896
50,1.0,0.5489999999999999
51,1.0,0.46699999999999997
52,1.0,0.323
53,1.0,1.95
54,0.0,0.392
55,1.0,0.453
56,1.0,1.5030000000000001
57,1.0,0.791
58,1.0,0.313
59,1.0,0.474
60,1.0,0.704
61,0.0,0.5940000000000001
62,1.0,0.373
63,1.0,0.53
64,1.0,0.835
65,1.0,0.738
66,1.0,2.48
67,1.0,0.56
68,1.0,1.816
69,1.0,1.482
70,1.0,0.84
71,0.0,1.1320000000000001
72,1.0,0.737
73,1.0,1.207
74,1.0,0.376
75,1.0,1.455
76,1.0,0.448
77,1.0,1.621
78,1.0,1.0710000000000002
79,0.0,0.439
80,1.0,0.957
81,1.0,0.875
82,1.0,0.833
83,1.0,1.6440000000000001
84,1.0,0.5529999999999999
85,1.0,0.41800000000000004
86,1.0,0.446
87,1.0,0.397
88,0.0,1.335
89,0.0,0.869
90,1.0,0.548
91,1.0,0.5589999999999999
92,1.0,0.5
93,1.0,1.2269999999999999
94,1.0,0.918
95,1.0,0.637
96,1.0,1.089
97,1.0,0.483
98,1.0,1.472
99,1.0,0.7230000000000001
100,1.0,0.526
101,0.0,0.954
102,0.0,0.859
103,1.0,0.666
104,1.0,0.5589999999999999
105,1.0,1.241
106,1.0,0.91
107,1.0,0.396
108,1.0,0.525
109,0.0,0.457
110,1.0,0.862
111,1.0,0.771
112,1.0,0.384
113,1.0,0.5960000000000001
114,1.0,0.787
115,1.0,0.481
116,1.0,0.46199999999999997
117,1.0,0.496
118,0.0,0.937
119,1.0,0.83
120,1.0,0.43
121,1.0,0.936
122,1.0,0.5740000000000001
123,1.0,1.041
124,1.0,0.671
125,1.0,0.534
126,0.0,0.8180000000000001
127,0.0,0.774
128,1.0,0.797
129,0.0,0.8220000000000001
130,1.0,1.131
131,1.0,1.195
132,1.0,0.337
133,1.0,1.404
134,1.0,0.7090000000000001
135,0.0,0.9420000000000001
136,1.0,0.401
137,1.0,0.663
138,1.0,1.1280000000000001
139,0.0,1.017
140,1.0,1.804
141,1.0,1.2510000000000001
142,1.0,0.363
143,1.0,0.33899999999999997
144,1.0,1.021
145,1.0,0.849
146,1.0,0.403
147,1.0,0.494
148,0.0,1.04
149,0.0,0.881
