,correct,rt,cond,log_rt
562,0,0.344,Neutral,-1.0671136216087387
563,1,0.2831,Speed,-1.261955086864283
564,1,0.3754,Neutral,-0.9797631548297285
565,1,0.7546,Accuracy,-0.2815674714519269
566,1,0.3485,Speed,-1.0541170487815585
567,1,0.5626,Neutral,-0.5751863829263806
568,0,0.3207,Speed,-1.1372491722830278
569,0,0.6161,Neutral,-0.48434599096161207
570,1,0.4787,Speed,-0.7366811825836737
571,1,0.4221,Neutral,-0.8625130261936841
572,0,0.29,Speed,-1.2378743560016174
573,1,0.3615,Neutral,-1.0174932373833177
574,1,0.38,Speed,-0.9675840262617056
575,1,0.3792,Accuracy,-0.9696915086012704
576,0,0.7756,Accuracy,-0.2541183556136404
577,1,0.5137,Neutral,-0.6661158415089148
578,1,0.6976,Accuracy,-0.36010940638736716
579,1,0.8471,Neutral,-0.16593652754463184
580,1,0.3342,Speed,-1.0960156628208437
581,0,0.3692,Speed,-0.9964167763534401
582,1,0.4839,Neutral,-0.7258770051828642
583,1,0.4905,Neutral,-0.7123299999767193
584,1,0.7090000000000001,Accuracy,-0.3438997524500094
585,0,0.4806,Accuracy,-0.7327199556797684
586,1,0.2757,Speed,-1.288441960952386
587,1,0.5289,Accuracy,-0.6369559009102027
588,1,0.5157,Neutral,-0.6622300779252237
589,1,0.4923,Accuracy,-0.7086669922179821
590,1,0.6085,Neutral,-0.49675836655455513
591,0,0.3474,Speed,-1.0572784251751326
592,1,0.3626,Speed,-1.0144549806613865
593,1,0.4,Accuracy,-0.916290731874155
594,1,0.4275,Accuracy,-0.8498009906053222
595,1,0.4801,Neutral,-0.7337608634452423
596,0,0.4968,Neutral,-0.6995677483628681
597,1,1.0224,Accuracy,0.02215280464113328
598,1,1.0390000000000001,Neutral,0.03825871211709048
599,1,0.5439,Accuracy,-0.6089898725532219
600,1,0.6689,Neutral,-0.4021207068577746
601,0,0.4746,Neutral,-0.7452829349804738
602,1,0.3731,Speed,-0.9859087987550249
603,1,0.9429,Accuracy,-0.05879504651050549
604,0,0.2786,Speed,-1.2779782176364316
605,0,0.3369,Speed,-1.08796912856963
606,1,0.6077,Neutral,-0.4980739398408275
607,0,0.5391,Speed,-0.617854196524514
608,1,0.5639,Accuracy,-0.5728783481690007
609,1,1.2867,Neutral,0.2520808012088074
610,0,0.2959,Speed,-1.2177337195759732
611,1,0.4992,Neutral,-0.6947484619269192
612,1,0.6444,Accuracy,-0.43943562767931776
613,0,0.3364,Speed,-1.089454350883344
614,1,0.8226,Accuracy,-0.19528522318581334
615,1,0.578,Neutral,-0.5481814103097596
616,1,0.2626,Speed,-1.3371233171134413
617,1,0.4132,Accuracy,-0.8838235417366536
618,0,0.3112,Speed,-1.1673194866779006
619,1,0.5831,Accuracy,-0.5393965807540269
620,0,0.4768,Neutral,-0.7406581632309971
621,0,0.5574,Accuracy,-0.5844721639342892
622,1,0.8333,Neutral,-0.1823615575939759
623,1,0.2883,Speed,-1.2437536743377806
624,1,0.4483,Neutral,-0.8022926278207433
625,1,0.3777,Speed,-0.9736550492637259
626,0,0.3831,Speed,-0.9594592272755338
627,1,0.3019,Speed,-1.1976594422693438
628,1,0.7016,Neutral,-0.3543918379241638
629,1,0.306,Speed,-1.1841701770297564
630,1,0.2731,Speed,-1.2979172505024776
631,1,0.7816,Accuracy,-0.24641217825356412
632,1,0.3656,Speed,-1.006215439402142
633,1,0.6137,Neutral,-0.4882490695870857
634,1,0.4498,Accuracy,-0.7989522394569218
635,1,0.4787,Speed,-0.7366811825836737
636,1,0.3448,Speed,-1.0647907401925991
637,1,0.4303,Neutral,-0.8432726391375831
638,1,0.4326,Neutral,-0.8379417654631787
639,1,0.5123,Neutral,-0.6688448880369805
640,1,1.422,Accuracy,0.3520643313810491
641,1,0.617,Accuracy,-0.48288625507674926
642,0,0.2817,Speed,-1.2669126040998102
643,1,0.3506,Speed,-1.048109306495003
644,0,0.46399999999999997,Neutral,-0.7678707267558819
645,1,0.5533,Accuracy,-0.5918549290780729
646,1,0.846,Accuracy,-0.1672359193759138
647,0,0.528,Accuracy,-0.6386589952758756
648,1,0.3369,Speed,-1.08796912856963
649,0,0.2865,Speed,-1.250016742827343
650,1,0.4009,Speed,-0.9140432593336758
651,1,0.3687,Speed,-0.9977719737420382
652,0,0.3467,Speed,-1.0592954262911594
653,1,0.7677,Accuracy,-0.26435624714828415
654,1,0.3008,Speed,-1.2013096869064523
