,correct,left_coherence,pressed,right_coherence,rt,subj,coherence
88,True,0.12,F,0.12,0.7647024272932867,101,"0.12, 0.12"
89,False,0.18,J,0.0,0.5892747210732523,101,"0.0, 0.18"
90,False,0.3,F,0.3,0.3337317869877552,101,"0.3, 0.3"
91,True,0.12,J,0.24,0.30398961591663465,101,"0.12, 0.24"
92,True,0.12,J,0.12,0.5451542790010535,101,"0.12, 0.12"
93,True,0.3,F,0.18,0.3610171581190116,101,"0.18, 0.3"
94,False,0.24,J,0.0,0.34874784242128953,101,"0.0, 0.24"
95,False,0.3,J,0.12,0.3804533755196644,101,"0.12, 0.3"
96,False,0.18,F,0.18,0.3878960871284107,101,"0.18, 0.18"
97,False,0.24,J,0.12,0.4933601985944733,101,"0.12, 0.24"
98,True,0.3,F,0.06,0.34337474406902396,101,"0.06, 0.3"
99,True,0.06,J,0.24,0.5014183915750436,101,"0.06, 0.24"
100,True,0.18,J,0.24,0.5981448285992883,101,"0.18, 0.24"
101,False,0.3,J,0.24,0.7214038738061391,101,"0.24, 0.3"
102,True,0.12,F,0.06,0.7409849918403779,101,"0.06, 0.12"
103,True,0.06,J,0.12,0.3950816901560757,101,"0.06, 0.12"
104,True,0.24,J,0.3,0.4081799593836877,101,"0.24, 0.3"
105,True,0.0,J,0.3,0.43970138833083183,101,"0.0, 0.3"
106,False,0.0,F,0.0,1.2486925696175604,101,"0.0, 0.0"
107,True,0.0,J,0.12,0.4849541609755761,101,"0.0, 0.12"
108,True,0.12,J,0.18,0.5065638878809295,101,"0.12, 0.18"
109,False,0.18,J,0.0,0.9576215516835872,101,"0.0, 0.18"
110,False,0.24,J,0.24,0.5313804071074628,101,"0.24, 0.24"
111,True,0.18,F,0.06,0.4148546699289,101,"0.06, 0.18"
112,False,0.12,J,0.0,0.5228857113565937,101,"0.0, 0.12"
113,True,0.12,J,0.3,0.2689480435647056,101,"0.12, 0.3"
114,True,0.18,J,0.3,0.4560513330584399,101,"0.18, 0.3"
115,True,0.0,J,0.24,0.4224149920901255,101,"0.0, 0.24"
116,False,0.24,J,0.06,1.1460065052901882,101,"0.06, 0.24"
117,False,0.06,J,0.0,0.6480345600480177,101,"0.0, 0.06"
118,False,0.18,J,0.18,0.6339304366133547,101,"0.18, 0.18"
119,True,0.06,J,0.24,0.4638280364715683,101,"0.06, 0.24"
120,True,0.3,F,0.0,0.5150150857348308,101,"0.0, 0.3"
121,True,0.12,J,0.3,0.4774542371660573,101,"0.12, 0.3"
122,True,0.0,J,0.18,0.4894104788368168,101,"0.0, 0.18"
123,True,0.0,J,0.06,0.5725902304279771,101,"0.0, 0.06"
124,False,0.3,J,0.06,1.299032933725357,101,"0.06, 0.3"
125,True,0.06,J,0.24,0.4060401122633266,101,"0.06, 0.24"
126,False,0.12,J,0.0,0.6080556994706967,101,"0.0, 0.12"
127,False,0.06,F,0.12,0.3616840335016605,101,"0.06, 0.12"
128,False,0.24,J,0.12,0.4174541540487553,101,"0.12, 0.24"
129,False,0.3,J,0.12,0.3377179396957217,101,"0.12, 0.3"
130,False,0.18,F,0.24,0.24071361484129736,101,"0.18, 0.24"
131,False,0.06,J,0.06,0.3366203797340859,101,"0.06, 0.06"
132,True,0.0,J,0.0,0.5161573903483259,101,"0.0, 0.0"
133,False,0.18,J,0.0,0.549427046825258,101,"0.0, 0.18"
134,True,0.06,F,0.0,0.40967274067224935,101,"0.0, 0.06"
135,True,0.3,J,0.3,0.575228641009744,101,"0.3, 0.3"
136,True,0.24,F,0.24,0.3695679578431736,101,"0.24, 0.24"
137,True,0.0,J,0.24,0.29759764169330083,101,"0.0, 0.24"
138,False,0.24,J,0.0,0.5822384515854537,101,"0.0, 0.24"
139,True,0.06,J,0.06,0.3979463175014644,101,"0.06, 0.06"
140,True,0.18,J,0.3,0.5007351698495768,101,"0.18, 0.3"
141,False,0.06,F,0.18,0.5787957455181639,101,"0.06, 0.18"
142,True,0.0,J,0.18,0.4562688225369129,101,"0.0, 0.18"
143,True,0.3,F,0.3,0.39960048429475137,101,"0.3, 0.3"
144,True,0.06,J,0.3,0.35892053183761163,101,"0.06, 0.3"
145,False,0.18,F,0.18,0.3569823819666453,101,"0.18, 0.18"
146,False,0.18,J,0.12,0.4063947447893952,101,"0.12, 0.18"
147,True,0.24,F,0.0,0.3543589324449385,101,"0.0, 0.24"
148,False,0.12,J,0.12,0.38553501026490267,101,"0.12, 0.12"
149,True,0.3,F,0.18,0.30919855819684017,101,"0.18, 0.3"
150,True,0.0,J,0.12,0.4686684933935794,101,"0.0, 0.12"
151,True,0.18,F,0.0,0.4640665822566916,101,"0.0, 0.18"
152,True,0.06,J,0.3,0.4814007707714154,101,"0.06, 0.3"
153,True,0.3,F,0.18,0.5096860393919087,101,"0.18, 0.3"
154,False,0.18,J,0.06,0.4241310810471077,101,"0.06, 0.18"
155,True,0.18,J,0.3,0.4063729958411386,101,"0.18, 0.3"
156,True,0.0,J,0.3,0.5978835641676596,101,"0.0, 0.3"
